iso,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg,umd_tree_cover_loss_from_fires__ha,国家,大洲
IRN,2001,332.4837054,79007.30318,62.84616548,伊朗,亚洲
IRQ,2001,16.02663642,4380.309439,2.267511666,伊拉克,亚洲
ISR,2001,145.9652381,32148.47604,16.52634444,以色列,亚洲
ITA,2001,9871.496932,2625475.782,706.9286461,意大利,欧洲
JAM,2001,1246.241523,604732.7148,28.05902341,牙买加,北美洲
JEY,2001,3.696338871,1334.481392,0.303819953,泽西岛,欧洲
JOR,2001,0.522028031,128.8148731,0,约旦,亚洲
JPN,2001,23977.46162,8852675.781,763.161523,日本,亚洲
KAZ,2001,4534.702741,1046734.182,1169.958089,哈萨克斯坦,亚洲
KEN,2001,19027.21105,8923501.918,36.51739675,肯尼亚,非洲
KGZ,2001,589.226356,131833.9127,226.8600644,吉尔吉斯斯坦,亚洲
KHM,2001,28491.44387,14347367.31,1054.648449,柬埔寨,亚洲
KNA,2001,45.60965868,18773.40373,1.177028532,圣基茨和尼维斯,北美洲
KOR,2001,5503.445335,1351803.231,647.7419125,韩国,亚洲
LAO,2001,36474.65075,18485247.93,123.7408599,老挝,亚洲
LBN,2001,299.4042676,74833.02677,25.6995691,黎巴嫩,亚洲
LBR,2001,29185.67018,13222688.9,303.9712256,利比里亚,非洲
LBY,2001,17.15270152,3934.289428,7.731218527,利比亚,非洲
LCA,2001,31.08046321,14720.9491,1.793460508,圣卢西亚,北美洲
LIE,2001,3.423943212,1685.743631,0.158040248,列支敦士登,欧洲
LKA,2001,3759.510363,1394091.806,73.46096684,斯里兰卡,亚洲
LSO,2001,1.140052131,374.9441734,0,莱索托,非洲
LTU,2001,7961.687395,2073082.969,113.4825803,立陶宛,欧洲
LUX,2001,68.60969197,30504.56168,0.65116962,卢森堡,欧洲
LVA,2001,24907.62112,6198743.604,201.8810314,拉脱维亚,欧洲
MAC,2001,1.428070339,0,0,中国澳门,亚洲
MAF,2001,2.123655985,741.4102498,0.219694592,圣马丁岛,南美洲
MAR,2001,1868.288606,504810.0074,569.7791036,摩洛哥,非洲
MDA,2001,146.6880607,36277.78784,11.64532981,摩尔多瓦,欧洲
MDG,2001,86956.8327,42097202.67,2025.337708,马达加斯加,非洲
MDV,2001,4.743487262,364.7016365,0,马尔代夫,亚洲
MEX,2001,158302.9885,51553742.23,13288.02116,墨西哥,北美洲
MKD,2001,2059.864143,605613.6083,405.419176,马其顿,欧洲
MLI,2001,347.8706881,164508.1906,0.224969691,马里,非洲
MLT,2001,1.251912538,300.0081159,0.06260556,马耳他,欧洲
MMR,2001,44804.23913,22725812.39,1130.501665,缅甸,亚洲
MNE,2001,858.4920805,319633.058,216.4246109,黑山,欧洲
MNG,2001,21056.72264,4629283.221,11973.38785,蒙古,亚洲
MOZ,2001,60936.64968,19891960.36,522.9708635,莫桑比克,非洲
MRT,2001,31.83843537,8044.754278,0.221104337,毛里塔尼亚,非洲
MSR,2001,7.078555306,2830.592994,0.294899513,蒙塞拉特,北美洲
MTQ,2001,192.9652483,90372.30301,4.022255047,马提尼克,北美洲
