iso,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg,umd_tree_cover_loss_from_fires__ha,国家,大洲
THA,2001,36101.94359,18368307.09,270.4476745,泰国,亚洲
TUR,2001,22910.00549,5258788.193,2106.725159,土耳其,亚洲
TZA,2001,82214.20404,29303449.8,510.3202299,坦桑尼亚,非洲
UGA,2001,29658.94722,11560010.56,15.91605018,乌干达,非洲
UKR,2001,28826.3802,8938030.487,1253.868654,乌克兰,欧洲
URY,2001,7647.452723,1749314.749,329.7433863,乌拉圭,南美洲
USA,2001,1943318.744,622169484.3,308757.3554,美国,北美洲
VEN,2001,123881.1441,50367335.83,16571.75368,委内瑞拉,南美洲
VNM,2001,47433.13018,23021538.75,738.9193086,越南,亚洲
ZAF,2001,77644.6906,37428338.44,2357.811575,南非,非洲
ZMB,2001,30123.7271,12200217.47,75.71984941,赞比亚,非洲
ZWE,2001,8205.934185,3098888.094,25.70660289,津巴布韦,非洲
AGO,2002,61034.22727,20299187.04,626.4541231,安哥拉,非洲
ARG,2002,105001.8622,25377671.38,7442.039892,阿根廷,南美洲
AUS,2002,312150.1627,36670865.83,235574.3467,澳大利亚,大洋洲
AUT,2002,10902.14988,4486380.052,216.633921,奥地利,欧洲
BEN,2002,3480.187346,970534.211,7.175379077,贝宁,非洲
BFA,2002,4.3029109,146834.345,0.0,布基纳法索,非洲
BGD,2002,3995.287574,1924878.799,50.31124424,孟加拉国,亚洲
BLR,2002,25383.4157,6914767.28,1371.844915,白俄罗斯,欧洲
BLZ,2002,13473.73051,6185804.111,2518.019459,伯利兹,北美洲
BOL,2002,178807.9712,79888221.05,17023.86769,玻利维亚,南美洲
BRA,2002,3507049.44,1624101190.0,179608.7586,巴西,南美洲
CAF,2002,34417.72161,15614935.57,349.6383671,中非共和国,非洲
CAN,2002,2316887.665,838727146.3,1316753.789,加拿大,北美洲
CHL,2002,78080.97298,23258513.86,10400.28306,智利,南美洲
CHN,2002,249150.9601,95736746.08,38670.85088,中国,亚洲
CIV,2002,144559.9075,55683832.07,354.3374436,科特迪瓦,非洲
CMR,2002,28766.95157,14836148.57,72.78535809,喀麦隆,非洲
COD,2002,514476.6882,278817380.5,4150.739093,刚果民主共和国,非洲
COG,2002,24310.14238,12543812.36,315.1394661,刚果共和国,非洲
COL,2002,182229.1524,96378010.31,8258.484205,哥伦比亚,南美洲
CRI,2002,13289.14909,6188298.145,400.4261215,哥斯达黎加,北美洲
CUB,2002,15035.84738,4104675.386,5908.662199,古巴,北美洲
CZE,2002,6766.437908,2734314.749,52.23241467,捷克共和国,欧洲
DEU,2002,15303.26237,6466765.744,261.2812385,德国,欧洲
DOM,2002,10435.97987,3792629.741,444.7443285,多米尼加共和国,北美洲
ECU,2002,29817.73772,17772196.96,2006.557403,厄瓜多尔,南美洲
ESP,2002,37699.01981,10714843.22,8026.917983,西班牙,欧洲
EST,2002,21918.38645,4949270.3,237.0953378,爱沙尼亚,欧洲
ETH,2002,13074.08741,5485488.338,29.26710768,埃塞俄比亚,非洲
FIN,2002,142432.404,26698221.21,1427.026502,芬兰,欧洲
FRA,2002,33888.39717,12829281.0,1917.373592,法国,欧洲
GAB,2002,13851.84666,7917484.151,167.8661037,加蓬,非洲
GBR,2002,20112.34996,7436889.22,2165.052919,英国,欧洲
GHA,2002,78395.05298,32750503.13,172.980971,加纳,非洲
GIN,2002,28933.47429,10752936.28,69.48497528,几内亚,非洲
GNB,2002,6073.797259,1838772.537,7.91913388,几内亚比绍,非洲
GRC,2002,5126.049313,1138251.016,843.2089187,希腊,欧洲
GTM,2002,55600.93461,23456703.34,7292.703433,危地马拉,北美洲
GUY,2002,4827.394979,3054603.466,245.9562774,圭亚那,南美洲
HND,2002,31528.01233,13520359.91,2567.266843,洪都拉斯,北美洲
HRV,2002,2340.179492,785186.7889,394.3790882,克罗地亚,欧洲
HUN,2002,7711.03737,2689525.648,116.4876441,匈牙利,欧洲
IDN,2002,855275.863,628290349.4,83504.6812,印度尼西亚,亚洲
IND,2002,53005.48774,25903413.63,987.810816,印度,亚洲
IRL,2002,5298.280939,2209032.16,207.1004272,爱尔兰,欧洲
ITA,2002,10931.22755,2994848.347,872.1062472,意大利,欧洲
JPN,2002,26154.03983,9960965.619,958.7046658,日本,亚洲
KEN,2002,20287.52622,10056533.34,31.44333162,肯尼亚,非洲
KHM,2002,54862.0762,27529476.39,823.5455333,柬埔寨,亚洲
KOR,2002,4705.326872,1175202.529,921.8269266,韩国,亚洲
LAO,2002,55936.73071,27825149.97,232.2871598,老挝,亚洲
LBR,2002,56984.42382,26648464.86,430.1457631,利比里亚,非洲
LKA,2002,3427.680386,1228143.064,83.19362305,斯里兰卡,亚洲
LTU,2002,10344.83819,2721769.751,25.21545949,立陶宛,欧洲
LVA,2002,29175.98819,7448035.555,127.0004369,拉脱维亚,欧洲
MDG,2002,89317.51419,42899565.86,3907.775184,马达加斯加,非洲
MEX,2002,158834.1254,51607513.27,13793.09424,墨西哥,北美洲
MLI,2002,175.2904428,67907.0829,0.149641421,马里,非洲
MMR,2002,66119.68071,33347158.37,1072.490992,缅甸,亚洲
MNG,2002,18728.01995,4761637.371,13915.66557,蒙古,亚洲
MOZ,2002,106658.3376,33465970.93,463.7073173,莫桑比克,非洲
MWI,2002,4189.572628,1688758.734,7.453163842,马拉维,非洲
MYS,2002,312553.7873,144023969.1,5412.993297,马来西亚,亚洲
NGA,2002,32346.71006,11546192.3,58.63066767,尼日利亚,非洲
NIC,2002,54194.49469,26924555.23,642.1322969,尼加拉瓜,北美洲
NOR,2002,26635.75319,5538400.652,907.2046102,挪威,欧洲
NPL,2002,2128.64331,1183634.575,333.5069084,尼泊尔,亚洲
NZL,2002,63227.9271,27443195.72,1003.347281,新西兰,大洋洲
PAN,2002,19200.13718,9473606.079,800.1925364,巴拿马,北美洲
PER,2002,80452.08582,49128368.54,3958.57407,秘鲁,南美洲
PHL,2002,32309.18926,17539558.48,488.3216298,菲律宾,亚洲
PNG,2002,54575.5022,38265772.1,2023.995502,巴布亚新几内亚,大洋洲
POL,2002,31070.13979,9241773.335,237.4053098,波兰,欧洲
PRK,2002,5358.227207,1253443.893,1799.160569,朝鲜,亚洲
PRT,2002,34903.34915,8756077.224,8453.405651,葡萄牙,欧洲
PRY,2002,195124.6398,50509117.24,17721.73212,巴拉圭,南美洲
ROU,2002,16356.44545,6630173.989,372.589031,罗马尼亚,欧洲
RUS,2002,2700384.154,359386615.4,1998379.749,俄罗斯,欧洲
