iso,stable,loss,gain,disturb,net,change,gfw_area__ha
SLE,3397505.86,646773.718,102136.7953,1993843.215,-544636.9228,-9.01996994,7260113.917
SLV,1229320.674,36516.4356,14647.3911,65853.53843,-21869.04451,-1.642199993,2042274.757
SMR,1051.506875,7.8072427,19.12292026,3.792145819,11.31567756,1.064389944,6121.556076
SOM,167884.9217,7792.000091,4188.832679,1285.957762,-3603.167411,-2.036109924,63353637.32
SPM,1300.052029,16.41905013,31.72241763,2.651412012,15.30336749,1.16012001,22665.70348
SRB,2877987.697,40867.45608,76226.92908,82743.15692,35359.473,1.17802,7823164.384
SSD,25841911.94,801955.6432,1082861.401,96714.82231,280905.7573,1.050480008,62810211.11
STP,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,100223.4001
SUR,13408434.64,81504.18138,23723.919,154506.5484,-57780.26238,-0.423471987,14642554.99
SVK,2127948.326,74716.97983,35796.94761,264843.1225,-38920.03223,-1.577299953,4909927.051
SVN,1265908.483,14322.77802,7767.609089,78528.31584,-6555.168931,-0.482437998,1998091.299
SWE,21241909.9,2633627.627,1671299.507,3655699.634,-962328.1205,-3.495409966,45004727.45
SWZ,568329.1475,44997.17519,23455.01036,97777.73035,-21542.16483,-3.02940011,1738325.798
SXM,1106.632087,44.01968395,16.48021498,13.25676604,-27.53946896,-2.3661201,3800.720166
SYC,1181.974881,242.1821713,1.442033191,3.264646356,-240.7401382,-16.86540031,49120.0038
SYR,113941.9389,18001.94457,5710.720621,14379.67184,-12291.22395,-8.400010109,18691756.32
TCA,1080.531944,39.85079083,63.76670968,49.63803136,23.91591885,2.044059992,99145.11411
TCD,9444707.709,1100419.115,256622.0419,232177.0329,-843797.0728,-7.829390049,126996302.1
TGO,1985196.841,180924.8314,47915.69198,103808.7226,-133009.1394,-5.859610081,5699532.491
THA,18845385.17,1747956.193,1842372.617,4057502.264,94416.42424,0.38301599,51405455.95
TJK,153480.1691,3592.432958,19712.0273,76.54588408,16119.59434,10.25749969,14211321.73
TKM,3439.3155,439.3777333,419.0480611,45.48363206,-20.32967222,-0.518061996,48959303.82
TLS,1068266.707,12383.61704,11133.80777,56885.85339,-1249.809277,-0.109869003,1491547.731
TTO,335960.331,14919.53669,3320.427198,13789.96102,-11599.10949,-3.180710077,515913.2601
TUN,240737.9946,14967.45644,10133.42684,23713.92378,-4834.029595,-1.730029941,15486357.96
TUR,12756770.3,385030.0785,473796.6578,510036.2682,88766.57928,0.650219023,78070435.95
TUV,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,4172.5603
TWN,2465048.94,25057.80255,29314.59056,63675.99801,4256.788017,0.166685998,3640633.597
TZA,27968218.85,4374164.769,557235.6116,1437826.817,-3816929.158,-11.29930019,94057605.43
UGA,2947708.359,1238023.462,185026.6322,313915.9604,-1052996.83,-23.40180016,24144006.82
UKR,9065233.102,499821.4538,926367.2171,895296.2712,426545.7633,4.077720165,60136264.37
UMI,60.81547964,6.359419885,4.458704871,91.58840497,-1.900715015,-1.197199941,4726.825841
URY,659122.2229,112760.4201,654493.5038,230107.5801,541733.0837,54.06570053,17746563.39
USA,237725811.8,17472750.87,13986759.49,28365368.84,-3485991.38,-1.229349971,947301496.7
UZB,154547.8563,3494.647046,43149.21755,147.4116399,39654.5705,25.06769943,44755552.47
VAT,12.49955562,0.00E+00,0.057601062,0.00E+00,0.057601062,0.460822999,52.67233598
VCT,30990.39788,885.1411288,126.8197636,427.3877138,-758.3213652,-2.347529888,39794.54017
VEN,51803026.08,1860299.206,491357.7329,1332976.395,-1368941.473,-2.489150047,91249271.88
